"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,242,090,150,920","0.64%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,821,649,602,199","1.04%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,146,159,520,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,146,159,520,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$902,438,328,409","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$545,349,126,632","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$401,388,000,000","0.10%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$306,471,700,000","0.00%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$250,991,063,696","2.46%","USA","Analyze"
"ASML","ASML Holding NV ADRs","ADRs","Large cap","Information Technology","$244,433,423,737","1.10%","The Netherlands","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$213,929,296,914","0.72%","USA","Analyze"
"AZN","AstraZeneca PLC ADRs","ADRs","Large cap","Health Care","$213,355,154,242","2.10%","United Kingdom","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$209,993,254,936","3.14%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$197,964,111,966","3.11%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$185,117,693,598","0.00%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$157,690,584,960","2.67%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$152,475,593,907","2.69%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$151,873,532,000","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$149,349,444,724","3.04%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$143,507,180,420","1.84%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$136,258,416,367","0.00%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$132,513,410,000","2.46%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$116,926,386,000","1.94%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$116,917,910,000","5.07%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$113,090,661,203","0.00%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$110,110,067,153","3.25%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$109,181,637,278","0.72%","USA","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Large cap","Consumer Discretionary","$108,509,578,114","0.00%","China","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$107,531,654,280","1.59%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$94,692,929,377","0.00%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$92,903,027,099","2.09%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$91,287,427,993","0.96%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$84,840,863,815","0.00%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$84,548,219,165","1.82%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,840,927,419","0.00%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,520,071,326","0.00%","USA","Analyze"
"JD","JD.com Inc ADRs","ADRs","Large cap","Consumer Discretionary","$78,779,321,897","0.00%","China","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$75,854,975,597","0.00%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$68,768,303,951","0.00%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$64,985,453,813","1.29%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$63,813,971,357","0.00%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$60,590,611,398","1.39%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$59,424,740,472","0.62%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$58,711,853,994","0.80%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$58,359,981,424","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$54,999,465,525","1.21%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,732,574,588","1.99%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$52,816,105,843","0.00%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$51,862,289,278","0.00%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$49,785,350,333","0.63%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$49,675,201,752","3.24%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$49,512,693,187","0.00%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$49,472,099,651","0.00%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$48,862,464,242","3.95%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,028,464,009","0.92%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$45,543,695,519","0.00%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$45,537,207,050","0.00%","USA","Analyze"
"NTES","NetEase Inc ADRs","ADRs","Large cap","Communication Services","$44,924,993,734","2.21%","China","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,052,406,440","0.00%","USA","Analyze"
"MELI","Mercadolibre Inc","Common stocks","Large cap","Consumer Discretionary","$43,445,231,522","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$43,406,648,625","2.49%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$43,094,568,503","0.00%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$42,485,160,625","1.88%","The Netherlands","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$42,070,010,179","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,045,225,289","3.15%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$41,716,487,290","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$41,377,155,253","1.53%","USA","Analyze"
